date,cbot_close,cbot_settle,volume,open_interest,contract,note
2024-01-02,1268.25,1270.00,185420,425680,ZSH24,
2024-01-15,1225.50,1227.25,198520,432150,ZSH24,
2024-02-01,1198.75,1200.50,175680,418920,ZSH24,
2024-02-15,1178.25,1180.00,168450,402580,ZSH24,
2024-03-01,1185.50,1187.25,182350,412680,ZSH24,
2024-03-15,1198.00,1200.25,195420,428950,ZSK24,换月
2024-04-01,1175.25,1177.00,178650,415280,ZSK24,
2024-04-15,1165.50,1167.25,165820,398650,ZSK24,
2024-05-01,1192.75,1195.00,188920,432580,ZSN24,
2024-05-15,1210.25,1212.50,202150,448920,ZSN24,
2024-06-01,1168.50,1170.25,175680,412850,ZSN24,
2024-06-15,1145.00,1147.25,162450,395680,ZSN24,
2024-07-01,1122.75,1125.00,155820,378950,ZSQ24,
2024-07-15,1098.50,1100.25,148650,362580,ZSQ24,
2024-08-01,1042.25,1044.50,142850,348920,ZSU24,
2024-08-15,1015.00,1017.25,138650,335680,ZSU24,CBOT大跌
2024-09-01,1028.75,1030.50,145820,352150,ZSX24,
2024-09-15,1045.50,1048.00,158920,372580,ZSX24,
2024-10-01,1018.25,1020.50,148650,358920,ZSX24,
2024-10-15,995.00,997.25,142150,345680,ZSX24,
2024-11-01,1005.75,1008.00,152850,362150,ZSF25,
2024-11-15,1012.50,1015.00,165420,378580,ZSF25,
2024-12-01,998.25,1000.50,155680,365920,ZSF25,
2024-12-15,988.00,990.25,148920,352850,ZSF25,
2025-01-02,995.50,998.00,162150,372580,ZSH25,
2025-01-15,1005.25,1008.00,175680,388920,ZSH25,
2025-02-01,1018.50,1020.75,168450,382150,ZSH25,
2025-02-15,1025.00,1027.50,182350,398580,ZSH25,
2025-03-01,1038.75,1041.00,195420,415920,ZSK25,
2025-03-15,1048.25,1050.50,205680,432850,ZSK25,
2025-04-01,1055.50,1058.00,212150,448580,ZSK25,
2025-04-15,1065.00,1067.50,198920,435920,ZSK25,
2025-05-01,1045.25,1048.00,185680,418650,ZSN25,
2025-05-15,1032.50,1035.00,172850,402150,ZSN25,
2025-06-01,1012.75,1015.00,165420,388580,ZSN25,
2025-06-15,998.00,1000.50,158920,375920,ZSN25,南美收获
2025-07-01,978.50,980.75,152150,362850,ZSQ25,
2025-07-15,965.25,968.00,148650,352580,ZSQ25,
2025-08-01,952.00,954.50,145820,345920,ZSU25,
2025-08-15,942.50,945.00,142850,338650,ZSU25,
2025-09-01,948.75,951.00,148920,352150,ZSX25,
2025-09-15,958.25,960.50,155680,365580,ZSX25,
2025-10-01,972.50,975.00,165420,382920,ZSX25,
2025-10-15,985.00,987.50,175680,398650,ZSX25,
2025-11-01,998.25,1000.50,182350,412850,ZSF26,
2025-11-15,1008.50,1011.00,188920,425680,ZSF26,
2025-12-01,1002.75,1005.00,178650,412150,ZSF26,
2025-12-15,995.00,997.50,168450,398920,ZSF26,
2026-01-02,988.25,990.50,175680,405680,ZSH26,
2026-01-15,982.50,985.00,182350,418920,ZSH26,
2026-01-28,980.00,982.50,188920,425150,ZSH26,当前数据
