组合,近,中,远,样本,终值,终日,均值,std,最大,最小,终值Z
C21: 3-5-7,C2103,C2105,C2107,158,-109.0,2021-03-11,-2.6,20.7,27.0,-109.0,-5.14
C23: 9-11-1+,C2309,C2311,C2401,161,-204.0,2023-09-13,-43.2,31.5,24.0,-204.0,-5.11
C23: 9-1-5+,C2309,C2401,C2405,83,-363.0,2023-09-13,-137.3,58.2,-34.0,-363.0,-3.88
C25: 9-1-5+,C2509,C2601,C2605,81,-198.0,2025-09-11,-130.3,18.9,-94.0,-198.0,-3.58
C19: 9-11-1+,C1909,C1911,C2001,158,29.0,2019-09-09,4.1,8.1,51.0,-14.0,3.09
C24: 1-5-9,C2401,C2405,C2409,76,55.0,2024-01-11,15.7,12.9,55.0,-17.0,3.05
C20: 7-9-11,C2007,C2009,C2011,153,35.0,2020-07-03,9.5,8.6,80.0,-16.0,2.98
C22: 1-5-9,C2201,C2205,C2209,80,114.0,2022-01-14,46.1,23.3,114.0,4.0,2.91
C22: 3-5-7,C2203,C2205,C2207,157,95.0,2022-03-09,32.6,21.6,110.0,-2.0,2.89
C20: 5-7-9,C2005,C2007,C2009,158,-19.0,2020-05-18,0.0,6.8,17.0,-27.0,-2.79
C19: 9-1-5+,C1909,C2001,C2005,80,17.0,2019-09-09,-4.6,8.3,17.0,-31.0,2.62
C19: 5-9-1+,C1905,C1909,C2001,78,49.0,2019-05-17,-3.4,20.1,49.0,-39.0,2.61
C20: 1-5-9,C2001,C2005,C2009,74,49.0,2020-01-06,24.4,9.6,49.0,6.0,2.55
C21: 9-1-5+,C2109,C2201,C2205,79,-160.0,2021-09-10,-51.7,44.1,9.0,-160.0,-2.46
C23: 7-9-11,C2307,C2309,C2311,161,84.0,2023-07-13,23.4,25.0,141.0,-11.0,2.42
C19: 5-7-9,C1905,C1907,C1909,157,37.0,2019-05-17,9.3,11.9,37.0,-18.0,2.32
C20: 9-11-1+,C2009,C2011,C2101,159,23.0,2020-09-11,0.2,10.6,23.0,-57.0,2.14
C23: 3-5-7,C2303,C2305,C2307,159,50.0,2023-03-13,29.1,10.2,54.0,3.0,2.04
C24: 5-9-1+,C2405,C2409,C2501,76,127.0,2024-05-15,81.0,23.9,130.0,33.0,1.92
C19: 7-9-11,C1907,C1909,C1911,156,-32.0,2019-07-10,-9.1,12.0,25.0,-35.0,-1.91
C20: 9-1-5+,C2009,C2101,C2105,80,46.0,2020-09-11,-16.3,34.2,46.0,-107.0,1.82
C25: 1-5-9,C2501,C2505,C2509,79,81.0,2025-01-14,42.9,21.8,87.0,15.0,1.75
C24: 7-9-11,C2407,C2409,C2411,155,89.0,2024-07-08,47.1,24.7,113.0,-2.0,1.69
C22: 5-7-9,C2205,C2207,C2209,157,-8.0,2022-05-17,9.3,10.4,38.0,-15.0,-1.66
C25: 9-11-1+,C2509,C2511,C2601,159,-70.0,2025-09-11,-40.9,18.0,9.0,-84.0,-1.62
C25: 5-9-1+,C2505,C2509,C2601,77,153.0,2025-05-16,123.9,18.9,169.0,85.0,1.54
