date,C19: 5-7-9,C19: 7-9-11,C19: 9-11-1+,C19: 5-9-1+,C19: 9-1-5+,C20: 1-5-9,C20: 3-5-7,C20: 5-7-9,C20: 7-9-11,C20: 9-11-1+,C20: 5-9-1+,C20: 9-1-5+,C21: 1-5-9,C21: 3-5-7,C21: 5-7-9,C21: 7-9-11,C21: 9-11-1+,C21: 5-9-1+,C21: 9-1-5+,C22: 1-5-9,C22: 3-5-7,C22: 5-7-9,C22: 7-9-11,C22: 9-11-1+,C22: 5-9-1+,C22: 9-1-5+,C23: 1-5-9,C23: 3-5-7,C23: 5-7-9,C23: 7-9-11,C23: 9-11-1+,C23: 5-9-1+,C23: 9-1-5+,C24: 1-5-9,C24: 3-5-7,C24: 5-7-9,C24: 7-9-11,C24: 9-11-1+,C24: 5-9-1+,C24: 9-1-5+,C25: 1-5-9,C25: 3-5-7,C25: 5-7-9,C25: 7-9-11,C25: 9-11-1+,C25: 5-9-1+,C25: 9-1-5+,C26: 1-5-9,C26: 3-5-7,C26: 5-7-9,C26: 7-9-11,C26: 9-11-1+,C26: 5-9-1+
2018-09-17,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-18,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-20,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-21,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-25,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-26,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-27,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
