date,contract,open,high,low,close,settle,volume,hold
2018-05-16,C1905,1850.0,1904.0,1850.0,1885.0,1886.0,4794,3434
2018-05-17,C1905,1885.0,1887.0,1865.0,1874.0,1874.0,5586,3248
2018-05-18,C1905,1877.0,1881.0,1863.0,1878.0,1870.0,5042,5408
2018-05-21,C1905,1871.0,1926.0,1871.0,1910.0,1900.0,11364,11810
2018-05-22,C1905,1912.0,1912.0,1900.0,1904.0,1905.0,6320,15146
2018-05-23,C1905,1902.0,1909.0,1893.0,1900.0,1900.0,8606,18180
2018-05-24,C1905,1901.0,1930.0,1899.0,1920.0,1915.0,12910,22200
2018-05-25,C1905,1916.0,1919.0,1911.0,1911.0,1914.0,4224,23620
2018-05-28,C1905,1911.0,1929.0,1909.0,1916.0,1918.0,14360,27312
2018-05-29,C1905,1915.0,1933.0,1914.0,1924.0,1925.0,13662,31050
2018-05-30,C1905,1921.0,1928.0,1917.0,1921.0,1923.0,11372,31062
2018-05-31,C1905,1920.0,1922.0,1905.0,1912.0,1913.0,8556,31186
2018-06-01,C1905,1915.0,1916.0,1898.0,1899.0,1905.0,17816,32352
2018-06-04,C1905,1898.0,1921.0,1898.0,1910.0,1913.0,29222,52740
2018-06-05,C1905,1910.0,1912.0,1892.0,1896.0,1900.0,17390,51348
2018-06-06,C1905,1897.0,1903.0,1893.0,1894.0,1896.0,10686,54468
2018-06-07,C1905,1890.0,1898.0,1888.0,1896.0,1894.0,7200,54978
2018-06-08,C1905,1893.0,1900.0,1873.0,1876.0,1887.0,27350,48732
2018-06-11,C1905,1875.0,1882.0,1874.0,1875.0,1876.0,6796,49544
2018-06-12,C1905,1873.0,1879.0,1869.0,1871.0,1873.0,6158,49498
2018-06-13,C1905,1873.0,1884.0,1873.0,1878.0,1878.0,7244,52784
2018-06-14,C1905,1879.0,1897.0,1878.0,1886.0,1889.0,18456,59614
2018-06-15,C1905,1886.0,1897.0,1883.0,1883.0,1888.0,11360,61988
2018-06-19,C1905,1892.0,1902.0,1872.0,1879.0,1888.0,18100,60270
2018-06-20,C1905,1876.0,1888.0,1876.0,1886.0,1882.0,7470,60596
2018-06-21,C1905,1888.0,1889.0,1878.0,1880.0,1882.0,6060,60764
2018-06-22,C1905,1880.0,1886.0,1873.0,1880.0,1878.0,24248,64074
2018-06-25,C1905,1881.0,1892.0,1879.0,1887.0,1887.0,17498,73480
2018-06-26,C1905,1888.0,1901.0,1884.0,1897.0,1895.0,16930,77438
2018-06-27,C1905,1898.0,1914.0,1898.0,1912.0,1908.0,26728,84598
2018-06-28,C1905,1913.0,1915.0,1900.0,1910.0,1906.0,21410,86446
2018-06-29,C1905,1911.0,1924.0,1910.0,1924.0,1916.0,18150,94774
2018-07-02,C1905,1924.0,1929.0,1919.0,1920.0,1924.0,15978,99302
2018-07-03,C1905,1917.0,1924.0,1910.0,1923.0,1916.0,11814,102510
