建仓月(月底),未来1月均值,未来1月胜率,未来2月均值,未来2月胜率,未来3月均值,未来3月胜率,未来6月均值,未来6月胜率,综合分
1月底,0.9,77.0,1.3,59.0,1.9,68.0,-0.6,57.0,0.6499999999999999
2月底,0.3,45.0,1.0,55.0,1.2,59.0,-1.0,43.0,0.09999999999999998
3月底,0.7,45.0,1.0,64.0,-0.1,48.0,-2.4,29.0,-1.25
4月底,0.3,50.0,-0.7,52.0,-2.2,33.0,-1.2,43.0,-1.7000000000000002
5月底,-1.1,43.0,-2.6,29.0,-2.3,33.0,-0.1,43.0,-1.2
6月底,-1.6,29.0,-1.2,43.0,-2.2,33.0,2.1,52.0,-0.050000000000000044
7月底,0.3,52.0,-0.8,33.0,0.9,62.0,4.8,67.0,2.85
8月底,-1.1,33.0,0.5,57.0,2.2,71.0,5.3,76.0,3.75
9月底,1.6,71.0,3.3,81.0,4.3,86.0,6.2,76.0,5.25
10月底,1.6,71.0,2.6,67.0,3.9,81.0,5.2,81.0,4.55
11月底,1.0,52.0,2.3,71.0,3.1,76.0,3.9,86.0,3.5
12月底,1.3,67.0,2.1,76.0,1.9,71.0,1.6,55.0,1.75
