date,close,open,high,low,ret,year,month
2005-01-31,1148,1150,,,,2005,1
2005-02-28,1185,1151,,,3.2229965156794327,2005,2
2005-03-31,1327,1185,,,11.983122362869203,2005,3
2005-04-30,1314,1323,,,-0.9796533534287888,2005,4
2005-05-31,1283,1315,,,-2.3592085235920823,2005,5
2005-06-30,1288,1280,,,0.3897116134060852,2005,6
2005-07-31,1256,1292,,,-2.4844720496894457,2005,7
2005-08-31,1236,1252,,,-1.5923566878980888,2005,8
2005-09-30,1265,1232,,,2.346278317152106,2005,9
2005-10-31,1263,1265,,,-0.15810276679841806,2005,10
2005-11-30,1283,1226,,,1.5835312747426666,2005,11
2005-12-31,1368,1285,,,6.625097427903359,2005,12
2006-01-31,1446,1366,,,5.701754385964919,2006,1
2006-02-28,1467,1480,,,1.4522821576763434,2006,2
2006-03-31,1437,1471,,,-2.0449897750511203,2006,3
2006-04-30,1447,1449,,,0.695894224077942,2006,4
2006-05-31,1526,1450,,,5.459571527297857,2006,5
2006-06-30,1476,1520,,,-3.2765399737876844,2006,6
2006-07-31,1428,1479,,,-3.2520325203251987,2006,7
2006-08-31,1400,1423,,,-1.9607843137254943,2006,8
2006-09-30,1408,1400,,,0.5714285714285783,2006,9
2006-10-31,1471,1411,,,4.474431818181812,2006,10
2006-11-30,1697,1468,,,15.363698164513927,2006,11
2006-12-31,1728,1704,,,1.8267530936947551,2006,12
2007-01-31,1715,1678,,,-0.752314814814814,2007,1
2007-02-28,1708,1711,,,-0.40816326530612734,2007,2
2007-03-31,1690,1717,,,-1.0538641686182681,2007,3
2007-04-30,1658,1630,,,-1.8934911242603603,2007,4
2007-05-31,1711,1660,,,3.196622436670693,2007,5
2007-06-30,1569,1717,,,-8.29924021040327,2007,6
2007-07-31,1526,1575,,,-2.7405991077119163,2007,7
2007-08-31,1632,1530,,,6.946264744429875,2007,8
2007-09-30,1666,1632,,,2.083333333333326,2007,9
2007-10-31,1706,1640,,,2.400960384153672,2007,10
2007-11-30,1757,1722,,,2.9894490035170085,2007,11
2007-12-31,1694,1766,,,-3.585657370517925,2007,12
2008-01-31,1744,1700,,,2.951593860684776,2008,1
2008-02-29,1811,1750,,,3.841743119266061,2008,2
2008-03-31,1948,1818,,,7.564881281060187,2008,3
2008-04-30,1968,1905,,,1.0266940451745477,2008,4
2008-05-31,1876,1961,,,-4.674796747967481,2008,5
2008-06-30,1941,1885,,,3.4648187633262273,2008,6
2008-07-31,1832,1930,,,-5.615662029881507,2008,7
2008-08-31,1850,1827,,,0.9825327510917026,2008,8
2008-09-30,1768,1850,,,-4.432432432432432,2008,9
2008-10-31,1655,1675,,,-6.391402714932126,2008,10
2008-11-30,1557,1653,,,-5.921450151057406,2008,11
2008-12-31,1548,1550,,,-0.5780346820809301,2008,12
2009-01-31,1579,1551,,,2.0025839793281763,2009,1
2009-02-28,1666,1582,,,5.509816339455353,2009,2
2009-03-31,1695,1664,,,1.740696278511411,2009,3
2009-04-30,1670,1699,,,-1.4749262536873142,2009,4
2009-05-31,1662,1675,,,-0.4790419161676662,2009,5
2009-06-30,1627,1660,,,-2.105896510228644,2009,6
2009-07-31,1666,1620,,,2.3970497848801564,2009,7
2009-08-31,1751,1678,,,5.102040816326525,2009,8
2009-09-30,1722,1750,,,-1.6561964591661926,2009,9
2009-10-31,1736,1730,,,0.8130081300812941,2009,10
2009-11-30,1784,1730,,,2.764976958525356,2009,11
2009-12-31,1873,1785,,,4.9887892376681675,2009,12
2010-01-31,1854,1878,,,-1.0144153764014896,2010,1
2010-02-28,1866,1851,,,0.6472491909385036,2010,2
2010-03-31,1928,1871,,,3.3226152197213255,2010,3
2010-04-30,1921,1925,,,-0.36307053941908585,2010,4
2010-05-31,1943,1919,,,1.145236855804277,2010,5
2010-06-30,1858,1944,,,-4.374678332475557,2010,6
2010-07-31,1930,1868,,,3.8751345532830994,2010,7
2010-08-31,2016,1939,,,4.455958549222805,2010,8
2010-09-30,2060,2020,,,2.182539682539675,2010,9
2010-10-31,2190,2060,,,6.310679611650483,2010,10
2010-11-30,2279,2205,,,4.063926940639262,2010,11
2010-12-31,2330,2267,,,2.237823606845102,2010,12
2011-01-31,2361,2331,,,1.3304721030042987,2011,1
2011-02-28,2429,2364,,,2.8801355357899183,2011,2
2011-03-31,2377,2439,,,-2.140798682585421,2011,3
2011-04-30,2349,2408,,,-1.1779554059739183,2011,4
2011-05-31,2416,2356,,,2.852277564921235,2011,5
2011-06-30,2307,2418,,,-4.511589403973515,2011,6
2011-07-31,2384,2269,,,3.33766796705679,2011,7
2011-08-31,2396,2389,,,0.5033557046979942,2011,8
2011-09-30,2285,2398,,,-4.632721202003342,2011,9
2011-10-31,2242,2275,,,-1.8818380743982455,2011,10
2011-11-30,2178,2243,,,-2.8545941123996443,2011,11
2011-12-31,2273,2190,,,4.36179981634528,2011,12
2012-01-31,2337,2282,,,2.8156621205455368,2012,1
2012-02-29,2421,2340,,,3.594351732991008,2012,2
2012-03-31,2432,2414,,,0.45435770342834303,2012,3
2012-04-30,2430,2450,,,-0.0822368421052655,2012,4
2012-05-31,2368,2435,,,-2.551440329218102,2012,5
2012-06-30,2336,2365,,,-1.3513513513513487,2012,6
2012-07-31,2398,2348,,,2.654109589041087,2012,7
2012-08-31,2385,2395,,,-0.5421184320266836,2012,8
2012-09-30,2341,2390,,,-1.8448637316561878,2012,9
2012-10-31,2420,2340,,,3.3746262281076467,2012,10
2012-11-30,2438,2422,,,0.7438016528925617,2012,11
2012-12-31,2433,2438,,,-0.20508613617719051,2012,12
2013-01-31,2424,2433,,,-0.36991368680641123,2013,1
2013-02-28,2441,2426,,,0.7013201320132056,2013,2
2013-03-31,2468,2439,,,1.1061040557148738,2013,3
2013-04-30,2391,2460,,,-3.1199351701782785,2013,4
2013-05-31,2447,2409,,,2.342116269343375,2013,5
2013-06-30,2418,2450,,,-1.1851246424192885,2013,6
2013-07-31,2338,2409,,,-3.3085194375516935,2013,7
2013-08-31,2320,2338,,,-0.7698887938408894,2013,8
2013-09-30,2318,2321,,,-0.08620689655172153,2013,9
2013-10-31,2323,2318,,,0.2157031924072461,2013,10
2013-11-30,2361,2320,,,1.63581575548859,2013,11
2013-12-31,2345,2361,,,-0.6776789495976265,2013,12
2014-01-31,2361,2344,,,0.6823027718550145,2014,1
2014-02-28,2341,2366,,,-0.8470986869970387,2014,2
2014-03-31,2354,2342,,,0.5553182400683365,2014,3
2014-04-30,2372,2360,,,0.7646559048428259,2014,4
2014-05-31,2387,2374,,,0.6323777403035358,2014,5
2014-06-30,2398,2389,,,0.4608294930875667,2014,6
2014-07-31,2367,2388,,,-1.2927439532944174,2014,7
2014-08-31,2374,2367,,,0.295732995352771,2014,8
2014-09-30,2358,2375,,,-0.6739679865206405,2014,9
2014-10-31,2380,2392,,,0.9329940627650579,2014,10
2014-11-30,2412,2397,,,1.3445378151260456,2014,11
2014-12-31,2380,2407,,,-1.3266998341625258,2014,12
2015-01-31,2474,2377,,,3.9495798319327813,2015,1
2015-02-28,2536,2471,,,2.5060630557801167,2015,2
2015-03-31,2524,2536,,,-0.4731861198738141,2015,3
2015-04-30,2500,2520,,,-0.9508716323296307,2015,4
2015-05-31,2470,2491,,,-1.200000000000001,2015,5
2015-06-30,2317,2473,,,-6.194331983805668,2015,6
2015-07-31,2015,2341,,,-13.034095813552005,2015,7
2015-08-31,1938,2011,,,-3.8213399503722045,2015,8
2015-09-30,1799,1946,,,-7.172342621259031,2015,9
2015-10-31,1810,1801,,,0.611450806003333,2015,10
2015-11-30,1893,1814,,,4.585635359116025,2015,11
2015-12-31,1896,1898,,,0.15847860538826808,2015,12
2016-01-31,1933,1895,,,1.9514767932489407,2016,1
2016-02-29,1551,1935,,,-19.762027935851012,2016,2
2016-03-31,1430,1560,,,-7.801418439716312,2016,3
2016-04-30,1514,1415,,,5.8741258741258795,2016,4
2016-05-31,1615,1525,,,6.671070013210034,2016,5
2016-06-30,1581,1608,,,-2.1052631578947323,2016,6
2016-07-31,1446,1580,,,-8.538899430740043,2016,7
2016-08-31,1450,1450,,,0.2766251728907321,2016,8
2016-09-30,1394,1450,,,-3.86206896551724,2016,9
2016-10-31,1517,1400,,,8.823529411764696,2016,10
2016-11-30,1544,1515,,,1.7798286090969118,2016,11
2016-12-31,1519,1544,,,-1.6191709844559532,2016,12
2017-01-31,1560,1516,,,2.699144173798551,2017,1
2017-02-28,1603,1558,,,2.7564102564102466,2017,2
2017-03-31,1672,1608,,,4.304429195258885,2017,3
2017-04-30,1622,1675,,,-2.9904306220095656,2017,4
2017-05-31,1608,1631,,,-0.8631319358816225,2017,5
2017-06-30,1687,1612,,,4.912935323383083,2017,6
2017-07-31,1645,1704,,,-2.4896265560165998,2017,7
2017-08-31,1687,1648,,,2.553191489361706,2017,8
2017-09-30,1693,1695,,,0.3556609365737984,2017,9
2017-10-31,1657,1659,,,-2.126402835203778,2017,10
2017-11-30,1715,1656,,,3.5003017501508804,2017,11
2017-12-31,1816,1716,,,5.889212827988333,2017,12
2018-01-31,1788,1818,,,-1.541850220264318,2018,1
2018-02-28,1830,1790,,,2.348993288590595,2018,2
2018-03-31,1744,1836,,,-4.699453551912569,2018,3
2018-04-30,1731,1746,,,-0.7454128440366969,2018,4
2018-05-31,1777,1732,,,2.6574234546504982,2018,5
2018-06-30,1787,1778,,,0.562746201463149,2018,6
2018-07-31,1854,1789,,,3.749300503637376,2018,7
2018-08-31,1904,1855,,,2.6968716289104577,2018,8
2018-09-30,1847,1904,,,-2.993697478991597,2018,9
2018-10-31,1891,1847,,,2.382241472658375,2018,10
2018-11-30,1953,1892,,,3.2786885245901676,2018,11
2018-12-31,1869,1904,,,-4.3010752688172005,2018,12
2019-01-31,1863,1865,,,-0.32102728731941976,2019,1
2019-02-28,1821,1866,,,-2.254428341384862,2019,2
2019-03-31,1844,1825,,,1.2630422844590816,2019,3
2019-04-30,1916,1845,,,3.90455531453362,2019,4
2019-05-31,1971,1932,,,2.8705636743215024,2019,5
2019-06-30,1948,1968,,,-1.1669203450025423,2019,6
2019-07-31,1930,1948,,,-0.924024640657084,2019,7
2019-08-31,1871,1930,,,-3.0569948186528473,2019,8
2019-09-30,1823,1873,,,-2.56547300908605,2019,9
2019-10-31,1873,1823,,,2.742731760833794,2019,10
2019-11-30,1830,1873,,,-2.295782167645488,2019,11
2019-12-31,1910,1829,,,4.371584699453557,2019,12
2020-01-31,1912,1911,,,0.10471204188482464,2020,1
2020-02-29,1922,1920,,,0.5230125523012497,2020,2
2020-03-31,2048,1927,,,6.555671175858491,2020,3
2020-04-30,2074,2048,,,1.26953125,2020,4
2020-05-31,2078,2090,,,0.192864030858253,2020,5
2020-06-30,2090,2078,,,0.5774783445620768,2020,6
