year,1,2,3,4,5,6,7,8,9,10,11,12
2005,,3.22,11.98,-0.98,-2.36,0.39,-2.48,-1.59,2.35,-0.16,1.58,6.63
2006,5.7,1.45,-2.04,0.7,5.46,-3.28,-3.25,-1.96,0.57,4.47,15.36,1.83
2007,-0.75,-0.41,-1.05,-1.89,3.2,-8.3,-2.74,6.95,2.08,2.4,2.99,-3.59
2008,2.95,3.84,7.56,1.03,-4.67,3.46,-5.62,0.98,-4.43,-6.39,-5.92,-0.58
2009,2.0,5.51,1.74,-1.47,-0.48,-2.11,2.4,5.1,-1.66,0.81,2.76,4.99
2010,-1.01,0.65,3.32,-0.36,1.15,-4.37,3.88,4.46,2.18,6.31,4.06,2.24
2011,1.33,2.88,-2.14,-1.18,2.85,-4.51,3.34,0.5,-4.63,-1.88,-2.85,4.36
2012,2.82,3.59,0.45,-0.08,-2.55,-1.35,2.65,-0.54,-1.84,3.37,0.74,-0.21
2013,-0.37,0.7,1.11,-3.12,2.34,-1.19,-3.31,-0.77,-0.09,0.22,1.64,-0.68
2014,0.68,-0.85,0.56,0.76,0.63,0.46,-1.29,0.3,-0.67,0.93,1.34,-1.33
2015,3.95,2.51,-0.47,-0.95,-1.2,-6.19,-13.03,-3.82,-7.17,0.61,4.59,0.16
2016,1.95,-19.76,-7.8,5.87,6.67,-2.11,-8.54,0.28,-3.86,8.82,1.78,-1.62
2017,2.7,2.76,4.3,-2.99,-0.86,4.91,-2.49,2.55,0.36,-2.13,3.5,5.89
2018,-1.54,2.35,-4.7,-0.75,2.66,0.56,3.75,2.7,-2.99,2.38,3.28,-4.3
2019,-0.32,-2.25,1.26,3.9,2.87,-1.17,-0.92,-3.06,-2.57,2.74,-2.3,4.37
2020,0.1,0.52,6.56,1.27,0.19,0.58,11.15,-2.63,9.11,6.2,-0.76,5.42
2021,-1.02,2.32,-5.26,3.88,-2.45,-1.99,-1.53,-3.34,1.33,4.25,0.69,1.02
2022,3.41,3.37,-0.56,7.18,-3.58,-5.28,-3.96,4.76,-0.86,4.04,0.8,-2.89
2023,0.64,-0.18,-3.98,-2.94,-0.42,3.61,-0.48,0.66,-3.84,-3.39,-1.5,-3.52
2024,-0.95,3.01,-1.91,-1.12,1.93,3.08,-6.3,-0.55,-4.83,1.03,-3.78,3.05
2025,2.42,0.39,-1.79,5.6,-1.72,1.8,-3.78,-4.24,-2.19,-0.61,5.35,-0.8
2026,2.02,3.92,-0.38,3.23,-3.05,,,,,,,
