date,c_close,c_ret%,oni,oni_6m,bucket,fwd_6m,fwd_12m,fwd_18m
2005-02-28,1185,3.22,0.58,,E. ONI≤-1.0 (中强 La Niña),4.3,23.8,18.14
2005-03-31,1327,11.98,0.45,,E. ONI≤-1.0 (中强 La Niña),-4.67,8.29,6.1
2005-04-30,1314,-0.98,0.43,,E. ONI≤-1.0 (中强 La Niña),-3.88,10.12,11.95
2005-05-31,1283,-2.36,0.29,,E. ONI≤-1.0 (中强 La Niña),0.0,18.94,32.27
2005-06-30,1288,0.39,0.11,,E. ONI≤-1.0 (中强 La Niña),6.21,14.6,34.16
2005-07-31,1256,-2.48,-0.06,0.3,C. -0.5<ONI<0.5 (中性),15.13,13.69,36.54
2005-08-31,1236,-1.59,-0.14,0.18,C. -0.5<ONI<0.5 (中性),18.69,13.27,38.19
2005-09-30,1265,2.35,-0.11,0.09,C. -0.5<ONI<0.5 (中性),13.6,11.3,33.6
2005-10-31,1263,-0.16,-0.29,-0.03,C. -0.5<ONI<0.5 (中性),14.57,16.47,31.27
2005-11-30,1283,1.58,-0.57,-0.18,C. -0.5<ONI<0.5 (中性),18.94,32.27,33.36
2005-12-31,1368,6.63,-0.84,-0.34,C. -0.5<ONI<0.5 (中性),7.89,26.32,14.69
2006-01-31,1446,5.7,-0.85,-0.47,C. -0.5<ONI<0.5 (中性),-1.24,18.6,5.53
2006-02-28,1467,1.45,-0.77,-0.57,D. -1.0<ONI≤-0.5 (弱 La Niña),-4.57,16.43,11.25
2006-03-31,1437,-2.04,-0.57,-0.65,D. -1.0<ONI≤-0.5 (弱 La Niña),-2.02,17.61,15.94
2006-04-30,1447,0.7,-0.37,-0.66,D. -1.0<ONI≤-0.5 (弱 La Niña),1.66,14.58,17.9
2006-05-31,1526,5.46,-0.14,-0.59,D. -1.0<ONI≤-0.5 (弱 La Niña),11.21,12.12,15.14
2006-06-30,1476,-3.28,-0.03,-0.46,C. -0.5<ONI<0.5 (中性),17.07,6.3,14.77
2006-07-31,1428,-3.25,0.1,-0.3,C. -0.5<ONI<0.5 (中性),20.1,6.86,22.13
2006-08-31,1400,-1.96,0.3,-0.12,C. -0.5<ONI<0.5 (中性),22.0,16.57,29.36
2006-09-30,1408,0.57,0.54,0.07,C. -0.5<ONI<0.5 (中性),20.03,18.32,38.35
2006-10-31,1471,4.47,0.77,0.26,C. -0.5<ONI<0.5 (中性),12.71,15.98,33.79
2006-11-30,1697,15.36,0.94,0.44,C. -0.5<ONI<0.5 (中性),0.82,3.54,10.55
2006-12-31,1728,1.83,0.94,0.6,B. 0.5≤ONI<1.0 (弱 El Niño),-9.2,-1.97,12.33
2007-01-31,1715,-0.75,0.66,0.69,B. 0.5≤ONI<1.0 (弱 El Niño),-11.02,1.69,6.82
2007-02-28,1708,-0.41,0.22,0.68,B. 0.5≤ONI<1.0 (弱 El Niño),-4.45,6.03,8.31
2007-03-31,1690,-1.05,-0.12,0.57,B. 0.5≤ONI<1.0 (弱 El Niño),-1.42,15.27,4.62
2007-04-30,1658,-1.89,-0.32,0.39,C. -0.5<ONI<0.5 (中性),2.9,18.7,-0.18
2007-05-31,1711,3.2,-0.38,0.17,C. -0.5<ONI<0.5 (中性),2.69,9.64,-9.0
2007-06-30,1569,-8.3,-0.47,-0.07,C. -0.5<ONI<0.5 (中性),7.97,23.71,-1.34
2007-07-31,1526,-2.74,-0.56,-0.27,C. -0.5<ONI<0.5 (中性),14.29,20.05,3.47
2007-08-31,1632,6.95,-0.81,-0.44,C. -0.5<ONI<0.5 (中性),10.97,13.36,2.08
2007-09-30,1666,2.08,-1.07,-0.6,D. -1.0<ONI≤-0.5 (弱 La Niña),16.93,6.12,1.74
2007-10-31,1706,2.4,-1.34,-0.77,D. -1.0<ONI≤-0.5 (弱 La Niña),15.36,-2.99,-2.11
2007-11-30,1757,2.99,-1.5,-0.96,D. -1.0<ONI≤-0.5 (弱 La Niña),6.77,-11.38,-5.41
2007-12-31,1694,-3.59,-1.6,-1.15,E. ONI≤-1.0 (中强 La Niña),14.58,-8.62,-3.96
2008-01-31,1744,2.95,-1.64,-1.33,E. ONI≤-1.0 (中强 La Niña),5.05,-9.46,-4.47
2008-02-29,1811,3.84,-1.52,-1.44,E. ONI≤-1.0 (中强 La Niña),2.15,-8.01,-3.31
2008-03-31,1948,7.56,-1.29,-1.48,E. ONI≤-1.0 (中强 La Niña),-9.24,-12.99,-11.6
2008-04-30,1968,1.03,-1.01,-1.43,E. ONI≤-1.0 (中强 La Niña),-15.9,-15.14,-11.79
2008-05-31,1876,-4.67,-0.84,-1.32,E. ONI≤-1.0 (中强 La Niña),-17.0,-11.41,-4.9
2008-06-30,1941,3.46,-0.61,-1.15,E. ONI≤-1.0 (中强 La Niña),-20.25,-16.18,-3.5
2008-07-31,1832,-5.62,-0.37,-0.94,D. -1.0<ONI≤-0.5 (弱 La Niña),-13.81,-9.06,1.2
2008-08-31,1850,0.98,-0.23,-0.72,D. -1.0<ONI≤-0.5 (弱 La Niña),-9.95,-5.35,0.86
2008-09-30,1768,-4.43,-0.24,-0.55,D. -1.0<ONI≤-0.5 (弱 La Niña),-4.13,-2.6,9.05
2008-10-31,1655,-6.39,-0.35,-0.44,C. -0.5<ONI<0.5 (中性),0.91,4.89,16.07
2008-11-30,1557,-5.92,-0.55,-0.39,C. -0.5<ONI<0.5 (中性),6.74,14.58,24.79
2008-12-31,1548,-0.58,-0.73,-0.41,C. -0.5<ONI<0.5 (中性),5.1,20.99,20.03
2009-01-31,1579,2.0,-0.85,-0.49,C. -0.5<ONI<0.5 (中性),5.51,17.42,22.23
2009-02-28,1666,5.51,-0.79,-0.58,D. -1.0<ONI≤-0.5 (弱 La Niña),5.1,12.0,21.01
2009-03-31,1695,1.74,-0.61,-0.65,D. -1.0<ONI≤-0.5 (弱 La Niña),1.59,13.75,21.53
2009-04-30,1670,-1.47,-0.33,-0.64,D. -1.0<ONI≤-0.5 (弱 La Niña),3.95,15.03,31.14
2009-05-31,1662,-0.48,0.01,-0.55,D. -1.0<ONI≤-0.5 (弱 La Niña),7.34,16.91,37.12
2009-06-30,1627,-2.11,0.28,-0.38,C. -0.5<ONI<0.5 (中性),15.12,14.2,43.21
2009-07-31,1666,2.4,0.45,-0.16,C. -0.5<ONI<0.5 (中性),11.28,15.85,41.72
