date,c_close,c_ret%,cbot_close,cbot_ret%,oni,phase
2005-02-28,1185,3.22,214.5,8.88,0.58,Weak El Niño
2005-03-31,1327,11.98,213.0,-0.7,0.45,Neutral
2005-04-30,1314,-0.98,204.75,-3.87,0.43,Neutral
2005-05-31,1283,-2.36,222.0,8.43,0.29,Neutral
2005-06-30,1288,0.39,212.25,-4.39,0.11,Neutral
2005-07-31,1256,-2.48,236.5,11.42,-0.06,Neutral
2005-08-31,1236,-1.59,201.5,-14.8,-0.14,Neutral
2005-09-30,1265,2.35,205.5,1.98,-0.11,Neutral
2005-10-31,1263,-0.16,196.25,-4.5,-0.29,Neutral
2005-11-30,1283,1.58,187.5,-4.46,-0.57,Weak La Niña
2005-12-31,1368,6.63,215.75,15.07,-0.84,Weak La Niña
2006-01-31,1446,5.7,218.75,1.39,-0.85,Weak La Niña
2006-02-28,1467,1.45,228.0,4.23,-0.77,Weak La Niña
2006-03-31,1437,-2.04,236.0,3.51,-0.57,Weak La Niña
2006-04-30,1447,0.7,238.25,0.95,-0.37,Neutral
2006-05-31,1526,5.46,251.25,5.46,-0.14,Neutral
2006-06-30,1476,-3.28,235.5,-6.27,-0.03,Neutral
2006-07-31,1428,-3.25,239.0,1.49,0.1,Neutral
2006-08-31,1400,-1.96,232.0,-2.93,0.3,Neutral
2006-09-30,1408,0.57,262.5,13.15,0.54,Weak El Niño
2006-10-31,1471,4.47,320.75,22.19,0.77,Weak El Niño
2006-11-30,1697,15.36,377.0,17.54,0.94,Weak El Niño
2006-12-31,1728,1.83,390.25,3.52,0.94,Weak El Niño
2007-01-31,1715,-0.75,404.0,3.52,0.66,Weak El Niño
2007-02-28,1708,-0.41,425.25,5.26,0.22,Neutral
2007-03-31,1690,-1.05,374.5,-11.93,-0.12,Neutral
2007-04-30,1658,-1.89,358.0,-4.41,-0.32,Neutral
2007-05-31,1711,3.2,390.25,9.01,-0.38,Neutral
2007-06-30,1569,-8.3,329.5,-15.57,-0.47,Neutral
2007-07-31,1526,-2.74,325.75,-1.14,-0.56,Weak La Niña
2007-08-31,1632,6.95,324.0,-0.54,-0.81,Weak La Niña
2007-09-30,1666,2.08,373.0,15.12,-1.07,Moderate La Niña
2007-10-31,1706,2.4,375.5,0.67,-1.34,Moderate La Niña
2007-11-30,1757,2.99,384.5,2.4,-1.5,Strong La Niña
2007-12-31,1694,-3.59,455.5,18.47,-1.6,Strong La Niña
2008-01-31,1744,2.95,501.25,10.04,-1.64,Strong La Niña
2008-02-29,1811,3.84,546.0,8.93,-1.52,Strong La Niña
2008-03-31,1948,7.56,567.25,3.89,-1.29,Moderate La Niña
2008-04-30,1968,1.03,600.25,5.82,-1.01,Moderate La Niña
2008-05-31,1876,-4.67,599.25,-0.17,-0.84,Weak La Niña
2008-06-30,1941,3.46,724.75,20.94,-0.61,Weak La Niña
2008-07-31,1832,-5.62,587.5,-18.94,-0.37,Neutral
2008-08-31,1850,0.98,568.25,-3.28,-0.23,Neutral
2008-09-30,1768,-4.43,487.5,-14.21,-0.24,Neutral
2008-10-31,1655,-6.39,401.5,-17.64,-0.35,Neutral
2008-11-30,1557,-5.92,349.5,-12.95,-0.55,Weak La Niña
2008-12-31,1548,-0.58,407.0,16.45,-0.73,Weak La Niña
2009-01-31,1579,2.0,379.0,-6.88,-0.85,Weak La Niña
2009-02-28,1666,5.51,350.75,-7.45,-0.79,Weak La Niña
2009-03-31,1695,1.74,404.75,15.4,-0.61,Weak La Niña
2009-04-30,1670,-1.47,396.25,-2.1,-0.33,Neutral
2009-05-31,1662,-0.48,436.25,10.1,0.01,Neutral
2009-06-30,1627,-2.11,347.75,-20.29,0.28,Neutral
2009-07-31,1666,2.4,339.5,-2.37,0.45,Neutral
2009-08-31,1751,5.1,326.25,-3.9,0.58,Weak El Niño
2009-09-30,1722,-1.66,344.0,5.44,0.71,Weak El Niño
2009-10-31,1736,0.81,366.0,6.4,1.01,Moderate El Niño
2009-11-30,1784,2.76,402.75,10.04,1.36,Moderate El Niño
2009-12-31,1873,4.99,414.5,2.92,1.56,Strong El Niño
2010-01-31,1854,-1.01,356.5,-13.99,1.5,Strong El Niño
2010-02-28,1866,0.65,378.0,6.03,1.22,Moderate El Niño
2010-03-31,1928,3.32,345.0,-8.73,0.84,Weak El Niño
2010-04-30,1921,-0.36,366.25,6.16,0.35,Neutral
2010-05-31,1943,1.15,359.0,-1.98,-0.17,Neutral
