组合,近月,远月,样本数,终值,终日,均值,std,最大,最小,终值Z,终值分位
C26: 5-9,C2605,C2609,156,-18.0,2026-05-15,-24.1,8.0,-4.0,-50.0,0.76,81.0
C26: 1-5,C2601,C2605,163,-1.0,2026-01-15,-45.7,34.1,47.0,-112.0,1.31,94.0
C259-265,C2509,C2605,81,62.0,2025-09-11,46.5,39.1,103.0,-33.0,0.4,60.0
C259-261,C2509,C2601,159,130.0,2025-09-11,80.6,20.9,130.0,42.0,2.36,100.0
C25: 5-9,C2505,C2509,157,-40.0,2025-05-16,-46.7,11.2,-19.0,-76.0,0.6,76.0
C25: 1-5,C2501,C2505,163,-127.0,2025-01-14,-61.4,29.7,-16.0,-137.0,-2.21,6.0
C249-255,C2409,C2505,81,-36.0,2024-09-10,17.5,22.5,65.0,-36.0,-2.38,2.0
C249-251,C2409,C2501,159,8.0,2024-09-10,52.5,20.1,97.0,6.0,-2.21,1.0
C24: 5-9,C2405,C2409,156,-62.0,2024-05-15,-19.6,18.6,7.0,-65.0,-2.28,3.0
C24: 1-5,C2401,C2405,160,-66.0,2024-01-11,-9.4,16.0,18.0,-66.0,-3.55,1.0
C239-245,C2309,C2405,83,333.0,2023-09-13,141.3,55.2,333.0,58.0,3.47,100.0
C239-241,C2309,C2401,161,348.0,2023-09-13,99.1,59.3,348.0,8.0,4.2,100.0
C23: 5-9,C2305,C2309,155,1.0,2023-05-15,10.8,22.3,45.0,-37.0,-0.44,37.0
C23: 1-5,C2301,C2305,161,-5.0,2023-01-13,-39.2,25.0,32.0,-75.0,1.37,87.0
C229-235,C2209,C2305,83,-128.0,2022-09-14,-73.1,28.5,-15.0,-139.0,-1.93,2.0
C229-231,C2209,C2301,160,-64.0,2022-09-14,8.5,50.0,129.0,-79.0,-1.45,3.0
C22: 5-9,C2205,C2209,157,-96.0,2022-05-17,-28.9,40.6,29.0,-124.0,-1.65,10.0
C22: 1-5,C2201,C2205,163,-110.0,2022-01-14,-37.1,22.7,19.0,-110.0,-3.22,1.0
C219-225,C2109,C2205,79,54.0,2021-09-10,-3.4,31.8,54.0,-69.0,1.8,100.0
C219-221,C2109,C2201,158,107.0,2021-09-10,37.1,30.8,107.0,-20.0,2.27,100.0
C21: 5-9,C2105,C2109,158,-11.0,2021-05-17,13.2,25.6,79.0,-38.0,-0.95,22.0
C21: 1-5,C2101,C2105,162,-3.0,2021-01-14,-36.7,20.4,16.0,-90.0,1.65,94.0
C209-215,C2009,C2105,80,-124.0,2020-09-11,-50.2,43.4,60.0,-124.0,-1.7,1.0
C209-211,C2009,C2101,159,-85.0,2020-09-11,-23.4,28.2,80.0,-85.0,-2.18,1.0
C20: 5-9,C2005,C2009,158,-49.0,2020-05-18,-49.4,6.3,-27.0,-65.0,0.07,52.0
C20: 1-5,C2001,C2005,158,-105.0,2020-01-06,-67.5,9.8,-45.0,-105.0,-3.81,1.0
C199-201,C1909,C2001,158,-77.0,2019-09-09,-48.6,13.4,-15.0,-77.0,-2.13,1.0
C199-205,C1909,C2005,80,-137.0,2019-09-09,-118.7,12.9,-89.0,-148.0,-1.41,12.0
C19: 5-9,C1905,C1909,157,-91.0,2019-05-17,-44.4,19.5,-17.0,-91.0,-2.39,1.0
