起始,终止,天数,极值Z,极值价差
2015-03-25,2015-03-31,5,2.91,539
2015-06-23,2015-06-25,3,5.87,735
2015-07-08,2015-07-09,2,4.24,753
2015-07-15,2015-07-16,2,3.47,793
2015-07-27,2015-07-27,1,2.74,781
2015-10-14,2015-10-26,9,-2.49,111
2016-02-22,2016-03-11,14,4.49,437
2016-06-28,2016-07-11,10,-2.63,395
2016-09-21,2016-09-21,1,-2.09,221
2016-11-21,2016-12-01,5,2.53,370
2017-03-09,2017-03-10,2,-2.16,213
2017-03-17,2017-03-29,8,4.29,410
2017-05-25,2017-05-25,1,-7.42,-1612
2017-10-09,2017-10-09,1,3.73,383
2017-11-07,2017-11-16,8,4.38,471
2018-03-08,2018-03-09,2,2.5,345
2018-03-15,2018-03-30,12,3.41,382
2018-08-09,2018-08-15,4,2.73,493
2018-10-12,2018-10-17,4,2.53,515
2018-10-25,2018-10-26,2,2.26,533
2018-11-14,2018-11-19,4,-2.83,397
2019-02-22,2019-02-22,1,-2.39,427
2019-03-27,2019-04-15,11,-2.86,411
2019-07-15,2019-07-23,7,-2.51,414
2019-08-06,2019-08-09,4,-4.05,365
2019-08-21,2019-08-21,1,-2.12,384
2019-09-27,2019-09-27,1,-2.37,363
2019-10-11,2019-10-17,4,-2.26,350
2019-12-03,2019-12-19,11,-3.16,294
2020-03-11,2020-03-25,11,-3.47,242
2020-07-20,2020-07-23,3,3.99,408
2020-08-03,2020-08-04,2,2.95,398
2020-08-17,2020-08-24,6,-3.86,236
2020-11-30,2020-11-30,1,3.52,362
2020-12-09,2020-12-11,3,-3.17,241
2020-12-25,2020-12-30,3,2.9,372
2021-01-05,2021-01-22,12,3.27,420
2021-02-24,2021-03-02,5,2.52,512
2021-03-17,2021-03-23,5,2.25,573
2021-06-07,2021-06-11,3,-2.53,384
2021-06-25,2021-06-25,1,-2.03,385
2021-07-06,2021-07-06,1,-2.0,354
2021-08-23,2021-08-23,1,2.01,494
2021-09-27,2021-09-30,4,3.31,543
2021-10-18,2021-10-25,6,4.01,664
2021-12-20,2021-12-30,9,-2.38,329
2022-02-28,2022-03-07,4,2.87,581
2022-05-17,2022-05-24,4,-2.23,270
2022-09-21,2022-09-29,6,-2.9,95
2022-10-11,2022-10-18,5,-2.46,14
2023-02-01,2023-02-03,2,-2.04,56
2023-03-02,2023-03-15,8,2.44,251
2023-06-29,2023-07-07,5,2.82,408
2023-08-18,2023-08-18,1,-2.29,263
2023-10-11,2023-10-17,5,2.94,428
2023-12-18,2023-12-19,2,2.23,470
2024-01-17,2024-01-30,7,2.73,505
2024-04-29,2024-04-30,2,-2.23,388
2024-05-06,2024-05-10,4,-2.54,374
2024-06-07,2024-06-13,4,-3.01,336
2024-07-09,2024-07-09,1,2.01,479
2024-10-10,2024-10-10,1,-2.25,362
2024-10-16,2024-10-16,1,-2.05,357
2024-12-17,2025-01-06,14,-4.51,251
2025-05-21,2025-05-27,3,-2.63,327
2025-06-03,2025-06-06,2,-2.2,316
2025-06-17,2025-06-23,5,-3.01,286
2025-08-05,2025-08-06,2,2.75,405
2025-08-13,2025-08-14,2,3.19,439
2026-01-09,2026-01-15,3,-2.24,271
2026-01-27,2026-02-05,8,-2.38,242
2026-03-13,2026-03-26,7,3.51,411
