date,meal_price,corn_price,crushing_margin
2025-02-04,3195,2122,1495.0
2025-02-11,3433,2138,1677.4
2025-02-18,3595,2145,1803.5
2025-02-25,3630,2167,1820.5
2025-03-04,3671,2166,1853.8000000000002
2025-03-11,3610,2201,1787.5
2025-03-18,3621,2200,1796.8000000000002
2025-03-25,3571,2212,1750.8000000000002
2025-04-01,3431,2206,1641.8000000000002
2025-04-08,3419,2202,1634.2000000000003
2025-04-15,3483,2226,1673.4
2025-04-22,3559,2223,1735.7000000000003
2025-04-29,3658,2258,1797.4
2025-05-06,3602,2280,1741.6000000000004
2025-05-13,3556,2303,1693.3000000000002
2025-05-20,3485,2296,1640.0
2025-05-27,3437,2329,1585.1000000000004
2025-06-03,3379,2307,1549.7000000000003
2025-06-10,3220,2340,1406.0
2025-06-17,3136,2348,1334.8000000000002
2025-06-24,3125,2370,1315.0
2025-07-01,3058,2388,1252.4
2025-07-08,2963,2392,1174.4
2025-07-15,2975,2402,1179.0
2025-07-22,2985,2394,1191.0
2025-07-29,3011,2396,1210.8000000000002
2025-08-05,3006,2392,1208.8000000000002
2025-08-12,3001,2416,1192.8000000000002
2025-08-19,3084,2417,1258.7000000000003
2025-08-26,3081,2378,1275.8000000000002
2025-09-02,3065,2383,1260.5
2025-09-09,3061,2371,1263.3000000000002
2025-09-16,3072,2363,1276.1000000000004
2025-09-23,3065,2381,1261.5
2025-09-30,3062,2375,1262.1
2025-10-07,3044,2364,1253.2000000000003
2025-10-14,3054,2378,1254.2000000000003
2025-10-21,3049,2372,1253.2000000000003
2025-10-28,3048,2366,1255.4
2025-11-04,3054,2316,1285.2000000000003
2025-11-11,3048,2337,1269.9
2025-11-18,3056,2302,1293.8000000000002
2025-11-25,3049,2326,1276.2000000000003
2025-12-02,3060,2317,1289.5
2025-12-09,3064,2329,1286.7000000000003
2025-12-16,3064,2344,1279.2000000000003
2025-12-23,3065,2334,1285.0
2025-12-30,3050,2337,1271.5
2026-01-06,3001,2354,1223.8000000000002
2026-01-13,3011,2354,1231.8000000000002
2026-01-20,3017,2333,1247.1
2026-01-27,3000,2320,1240.0
2026-02-03,2996,2339,1227.3000000000002
