date,close_ice,ret_ice,year,month
2006-01-31,18.02,,2006,1
2006-02-28,16.74,-7.103,2006,2
2006-03-31,17.9,6.93,2006,3
2006-04-30,17.13,-4.302,2006,4
2006-05-31,15.46,-9.749,2006,5
2006-06-30,15.79,2.135,2006,6
2006-07-31,14.91,-5.573,2006,7
2006-08-31,11.8,-20.858,2006,8
2006-09-30,10.85,-8.051,2006,9
2006-10-31,11.55,6.452,2006,10
2006-11-30,12.37,7.1,2006,11
2006-12-31,11.75,-5.012,2006,12
2007-01-31,10.6,-9.787,2007,1
2007-02-28,11.31,6.698,2007,2
2007-03-31,9.88,-12.644,2007,3
2007-04-30,9.24,-6.478,2007,4
2007-05-31,9.34,1.082,2007,5
2007-06-30,9.07,-2.891,2007,6
2007-07-31,10.33,13.892,2007,7
2007-08-31,9.48,-8.228,2007,8
2007-09-30,9.56,0.844,2007,9
2007-10-31,9.98,4.393,2007,10
2007-11-30,9.75,-2.305,2007,11
2007-12-31,10.82,10.974,2007,12
2008-01-31,12.36,14.233,2008,1
2008-02-29,14.27,15.453,2008,2
2008-03-31,11.69,-18.08,2008,3
2008-04-30,10.65,-8.896,2008,4
2008-05-31,10.02,-5.915,2008,5
2008-06-30,12.04,20.16,2008,6
2008-07-31,13.93,15.698,2008,7
2008-08-31,12.76,-8.399,2008,8
2008-09-30,12.36,-3.135,2008,9
2008-10-31,12.02,-2.751,2008,10
2008-11-30,11.9,-0.998,2008,11
2008-12-31,11.81,-0.756,2008,12
2009-01-31,12.67,7.282,2009,1
2009-02-28,13.47,6.314,2009,2
2009-03-31,12.67,-5.939,2009,3
2009-04-30,14.05,10.892,2009,4
2009-05-31,15.58,10.89,2009,5
2009-06-30,16.81,7.895,2009,6
2009-07-31,18.61,10.708,2009,7
2009-08-31,24.39,31.059,2009,8
2009-09-30,24.12,-1.107,2009,9
2009-10-31,22.81,-5.431,2009,10
2009-11-30,22.64,-0.745,2009,11
2009-12-31,26.95,19.037,2009,12
2010-01-31,29.9,10.946,2010,1
2010-02-28,24.13,-19.298,2010,2
2010-03-31,16.59,-31.247,2010,3
2010-04-30,15.05,-9.283,2010,4
2010-05-31,14.19,-5.714,2010,5
2010-06-30,18.03,27.061,2010,6
2010-07-31,19.57,8.541,2010,7
2010-08-31,19.75,0.92,2010,8
2010-09-30,25.3,28.101,2010,9
2010-10-31,29.12,15.099,2010,10
2010-11-30,27.55,-5.391,2010,11
2010-12-31,32.12,16.588,2010,12
2011-01-31,33.97,5.76,2011,1
2011-02-28,32.51,-4.298,2011,2
2011-03-31,27.11,-16.61,2011,3
2011-04-30,23.38,-13.759,2011,4
2011-05-31,23.18,-0.855,2011,5
2011-06-30,28.36,22.347,2011,6
2011-07-31,29.81,5.113,2011,7
2011-08-31,29.68,-0.436,2011,8
2011-09-30,26.34,-11.253,2011,9
2011-10-31,25.77,-2.164,2011,10
2011-11-30,23.69,-8.071,2011,11
2011-12-31,23.3,-1.646,2011,12
2012-01-31,23.64,1.459,2012,1
2012-02-29,25.66,8.545,2012,2
2012-03-31,24.71,-3.702,2012,3
2012-04-30,21.17,-14.326,2012,4
2012-05-31,19.42,-8.266,2012,5
2012-06-30,21.81,12.307,2012,6
2012-07-31,22.64,3.806,2012,7
2012-08-31,19.78,-12.633,2012,8
2012-09-30,19.58,-1.011,2012,9
2012-10-31,19.46,-0.613,2012,10
