date,cbot_price_cents,cbot_price_usd_mt,cnf_premium_brazil,cnf_premium_us,freight_brazil_china,fx_rate,tariff_brazil,tariff_us,import_cost_brazil,import_cost_us,note
2024-01-15,1225,450.11,145,95,55,7.18,0.03,0.28,4521,5012,
2024-02-15,1178,432.85,150,100,58,7.20,0.03,0.28,4425,4912,
2024-03-15,1198,440.19,155,98,52,7.22,0.03,0.28,4498,4968,
2024-04-15,1165,428.08,148,102,48,7.24,0.03,0.28,4378,4892,
2024-05-15,1210,444.60,142,95,45,7.21,0.03,0.28,4452,4921,
2024-06-15,1145,420.73,138,92,42,7.26,0.03,0.28,4278,4768,巴西收获高峰
2024-07-15,1098,403.45,125,88,40,7.25,0.03,0.28,4068,4556,
2024-08-15,1015,373.05,118,85,42,7.18,0.03,0.28,3798,4262,CBOT大跌
2024-09-15,1045,383.97,122,90,45,7.12,0.03,0.28,3885,4368,
2024-10-15,995,365.60,128,95,48,7.15,0.03,0.28,3798,4298,
2024-11-15,1012,371.84,135,98,52,7.22,0.03,0.28,3892,4398,
2024-12-15,988,363.03,140,100,55,7.28,0.03,0.28,3868,4392,
2025-01-15,1005,369.27,145,105,58,7.32,0.03,0.28,3942,4492,
2025-02-15,1025,376.62,148,108,55,7.28,0.03,0.28,3998,4535,
2025-03-15,1048,385.08,152,110,52,7.25,0.03,0.28,4078,4598,
2025-04-15,1065,391.32,155,112,48,7.22,0.03,0.28,4128,4635,
2025-05-15,1032,379.19,145,105,45,7.18,0.03,0.28,3968,4465,
2025-06-15,998,366.70,138,98,42,7.15,0.03,0.28,3828,4312,巴西收获
2025-07-15,965,354.58,125,92,40,7.12,0.03,0.28,3668,4152,
2025-08-15,942,346.13,120,88,42,7.08,0.03,0.28,3568,4028,
2025-09-15,958,352.00,125,92,45,7.15,0.03,0.28,3658,4132,
2025-10-15,985,361.93,132,98,48,7.22,0.03,0.28,3788,4298,
2025-11-15,1008,370.37,138,102,52,7.28,0.03,0.28,3898,4425,
2025-12-15,995,365.60,142,105,55,7.25,0.03,0.28,3878,4398,
2026-01-28,980,360.09,150,110,58,7.25,0.03,0.28,3892,4428,当前数据
