起始,终止,天数,极值Z,极值价差
2008-02-13,2008-02-27,11,3.18,1606
2008-03-05,2008-03-05,1,2.2,1766
2008-03-19,2008-03-19,1,-2.17,452
2008-03-27,2008-03-28,2,-2.37,236
2008-06-13,2008-06-19,4,2.94,1218
2008-07-01,2008-07-02,2,2.4,1334
2008-08-22,2008-09-01,7,3.07,1836
2008-09-18,2008-09-22,3,2.16,1980
2008-10-06,2008-10-06,1,2.57,2214
2008-11-26,2008-11-26,1,-2.15,1352
2008-12-03,2008-12-15,9,-2.55,1018
2009-03-11,2009-03-11,1,-2.03,798
2009-04-10,2009-04-15,4,-2.73,594
2009-04-21,2009-04-23,3,-2.17,600
2009-06-02,2009-06-16,11,3.89,1194
2009-11-03,2009-11-04,2,2.24,1178
2009-11-16,2009-11-18,2,2.68,1222
2009-12-14,2010-01-11,20,-3.11,838
2010-04-06,2010-04-09,3,2.18,752
2010-04-16,2010-04-26,7,3.89,908
2010-08-24,2010-09-02,8,-3.69,778
2010-09-13,2010-09-13,1,-2.14,750
2010-10-25,2010-10-26,2,2.79,1226
2011-03-11,2011-03-16,4,3.01,892
2011-03-22,2011-04-13,14,3.89,1208
2011-06-24,2011-06-24,1,2.07,1196
2011-07-06,2011-07-14,7,2.96,1378
2011-08-26,2011-09-08,10,2.94,1408
2011-11-09,2011-11-30,16,-3.46,972
2012-04-23,2012-05-03,7,4.53,1168
2012-05-17,2012-06-19,24,3.03,1316
2012-07-19,2012-07-19,1,2.13,1768
2012-08-10,2012-08-15,4,2.43,1982
2012-09-14,2012-09-14,1,2.1,2170
2012-09-25,2012-09-25,1,2.13,2252
2012-11-13,2012-11-19,5,-2.37,1666
2013-01-21,2013-01-21,1,2.28,2094
2013-04-25,2013-04-26,2,-2.22,1332
2013-06-07,2013-06-07,1,-2.26,1138
2013-06-13,2013-06-13,1,-2.09,1146
2013-07-17,2013-07-24,6,2.46,1680
2013-10-11,2013-11-08,21,-4.26,952
2014-02-26,2014-02-26,1,-2.16,594
2014-04-09,2014-04-11,3,2.55,914
2014-06-03,2014-06-12,8,3.0,1028
2014-07-10,2014-07-10,1,-2.15,730
2014-09-30,2014-09-30,1,-2.11,658
2014-10-16,2014-10-22,5,-2.8,570
2015-04-15,2015-04-16,2,2.58,850
2015-05-28,2015-05-29,2,-2.66,606
2015-06-04,2015-06-11,6,-4.25,488
2015-07-03,2015-07-03,1,-2.22,468
2015-08-07,2015-08-13,5,2.32,964
2015-08-20,2015-08-21,2,2.44,1126
2015-09-07,2015-09-07,1,3.87,1620
2016-02-26,2016-03-07,6,-2.87,618
2016-03-22,2016-03-30,6,-2.53,468
2016-05-12,2016-05-12,1,2.22,866
2016-06-13,2016-06-15,3,2.16,906
