date,y_close,p_close,spread,ratio,year
2007-10-29,8944,8424,520,1.0617283950617284,2007
2007-10-30,8898,8572,326,1.0380307979468035,2007
2007-10-31,8844,8516,328,1.0385157350868952,2007
2007-11-01,8924,8598,326,1.037915794370784,2007
2007-11-02,8874,8540,334,1.0391100702576113,2007
2007-11-05,8932,8600,332,1.0386046511627907,2007
2007-11-06,9076,8666,410,1.0473113316408955,2007
2007-11-07,9216,8816,400,1.0453720508166968,2007
2007-11-08,9292,8860,432,1.0487584650112867,2007
2007-11-09,9410,8910,500,1.0561167227833894,2007
2007-11-12,9390,8836,554,1.062698053417836,2007
2007-11-13,9594,8948,646,1.0721949038891372,2007
2007-11-14,9608,8900,708,1.0795505617977528,2007
2007-11-15,9622,8880,742,1.0835585585585585,2007
2007-11-16,9418,8530,888,1.1041031652989448,2007
2007-11-19,9430,8722,708,1.081174042650768,2007
2007-11-20,9036,8420,616,1.0731591448931117,2007
2007-11-21,9310,8690,620,1.0713463751438435,2007
2007-11-22,9372,8780,592,1.0674259681093394,2007
2007-11-23,9444,8710,734,1.0842709529276693,2007
2007-11-26,9564,8804,760,1.0863243980009087,2007
2007-11-27,9436,8700,736,1.0845977011494252,2007
2007-11-28,9292,8550,742,1.0867836257309942,2007
2007-11-29,9346,8522,824,1.0966909176249706,2007
2007-11-30,9280,8554,726,1.0848725742342764,2007
2007-12-03,9350,8560,790,1.0922897196261683,2007
2007-12-04,9392,8580,812,1.0946386946386946,2007
2007-12-05,9384,8576,808,1.0942164179104477,2007
2007-12-06,9300,8480,820,1.096698113207547,2007
2007-12-07,9454,8558,896,1.1046973591960738,2007
2007-12-10,9472,8522,950,1.1114761793006336,2007
2007-12-11,9538,8576,962,1.1121735074626866,2007
2007-12-12,9478,8518,960,1.1127025123268373,2007
2007-12-13,9630,8710,920,1.105625717566016,2007
2007-12-14,9684,8712,972,1.1115702479338843,2007
2007-12-17,9752,8786,966,1.1099476439790577,2007
2007-12-18,9620,8680,940,1.108294930875576,2007
2007-12-19,9772,8786,986,1.112223992715684,2007
2007-12-20,9764,8750,1014,1.1158857142857144,2007
2007-12-21,9818,8818,1000,1.1134044000907235,2007
2007-12-24,9914,8996,918,1.1020453534904402,2007
2007-12-25,9978,9016,962,1.1066992014196984,2007
2007-12-26,10228,9246,982,1.1062080899848583,2007
2007-12-27,10186,9300,886,1.095268817204301,2007
2007-12-28,10474,9298,1176,1.1264788126478813,2007
