date,pig_price,pig_grain_ratio
2025-02-03,16.44,7.84
2025-02-10,15.46,7.68
2025-02-17,14.64,7.3
2025-02-24,14.73,7.22
2025-03-03,14.81,7.08
2025-03-10,14.65,6.94
2025-03-17,14.66,6.94
2025-03-24,14.65,6.78
2025-03-31,14.59,6.82
2025-04-07,14.73,6.74
2025-04-14,14.81,6.71
2025-04-21,15.01,6.72
2025-04-28,14.86,6.68
2025-05-05,14.85,6.6
2025-05-12,14.87,6.48
2025-05-19,14.55,6.42
2025-05-26,14.34,6.29
2025-06-02,14.43,6.31
2025-06-09,13.96,6.29
2025-06-16,14.16,6.12
2025-06-23,14.35,6.1
2025-06-30,14.7,6.13
2025-07-07,15.05,6.21
2025-07-14,14.78,6.21
2025-07-21,14.43,6.23
2025-07-28,14.18,6.16
2025-08-04,14.12,6.05
2025-08-11,13.79,6.02
2025-08-18,13.73,5.94
2025-08-25,13.84,5.89
2025-09-01,13.83,5.91
2025-09-08,13.59,5.95
2025-09-15,13.26,5.9
2025-09-22,12.74,5.81
2025-09-29,12.34,5.68
2025-10-06,12.0,5.68
2025-10-13,10.92,5.46
2025-10-20,11.18,5.22
2025-10-27,11.92,5.25
2025-11-03,12.4,5.54
2025-11-10,11.97,5.6
2025-11-17,11.69,5.5
2025-11-24,11.65,5.37
2025-12-01,11.37,5.3
2025-12-08,11.31,5.21
2025-12-15,11.58,5.18
2025-12-22,11.47,5.23
2025-12-29,12.19,5.24
2026-01-05,12.48,5.4
2026-01-12,12.72,5.4
2026-01-19,13.2,5.4
2026-01-26,13.02,5.4
2026-02-02,12.73,5.4
