date,close,open,high,low,ret,year,month
2006-08-31,3272,3960,,,-17.519536173430804,2006,8
2006-02-28,5293,6246,,,-12.222222222222223,2006,2
2006-06-30,4272,4640,,,-10.552763819095478,2006,6
2008-03-31,4132,4680,,,-10.271444082518999,2008,3
2020-04-30,5015,5492,,,-8.86789024168635,2020,4
2024-08-31,5652,6190,,,-8.779857972885729,2024,8
2008-12-31,2852,3098,,,-8.53110968569596,2008,12
2014-01-31,4386,4787,,,-8.395989974937345,2014,1
2008-07-31,3477,3796,,,-8.064516129032262,2008,7
2023-03-31,6448,5939,,,8.387964363758616,2023,3
2009-04-30,4161,3845,,,8.926701570680628,2009,4
2010-12-31,7067,6425,,,8.9745566692367,2010,12
2023-04-30,7035,6448,,,9.103598014888338,2023,4
2016-06-30,6090,5567,,,9.276870626233634,2016,6
2009-11-30,5081,4620,,,9.978354978354975,2009,11
2012-01-31,6533,6020,,,10.168634064080951,2012,1
2009-01-31,3149,2955,,,10.413744740532959,2009,1
2009-08-31,4753,4241,,,12.01979731322178,2009,8
2009-12-31,5761,5070,,,13.38319228498328,2009,12
2010-10-31,6490,5660,,,14.341085271317834,2010,10
2006-10-31,3825,3342,,,14.48668063454055,2006,10
2009-02-28,3729,3152,,,18.418545570022225,2009,2
2008-02-29,4605,3850,,,19.890653475657373,2008,2
