year,1,2,3,4,5,6,7,8,9,10,11,12
2006,,-12.22,-4.19,-5.78,-0.04,-10.55,-7.14,-17.52,2.11,14.49,3.53,-4.72
2007,-1.09,2.65,1.57,-4.34,-2.55,-4.22,6.48,3.33,2.46,1.4,-0.65,0.18
2008,-2.81,19.89,-10.27,-7.41,1.86,-2.95,-8.06,-4.83,-5.47,4.73,-4.82,-8.53
2009,10.41,18.42,2.44,8.93,0.19,1.3,0.47,12.02,-2.23,-0.58,9.98,13.38
2010,-6.65,1.02,-6.55,-2.74,-5.33,3.21,7.65,5.74,3.35,14.34,-0.08,8.97
2011,5.33,-2.22,-3.32,-3.77,-1.26,1.51,7.66,-1.59,-6.16,-0.99,-5.54,-6.05
2012,10.17,2.17,-0.4,-4.78,-4.93,-4.52,-6.42,0.35,-3.82,0.42,2.44,3.93
2013,-2.05,-0.29,-1.01,-2.55,-2.87,-2.42,-1.19,2.06,1.86,2.06,-3.5,-4.47
2014,-8.4,6.7,3.61,0.12,-0.27,2.38,-3.99,-4.48,2.0,0.88,-1.45,0.2
2015,6.24,4.2,4.89,3.3,-0.05,2.28,-6.07,-1.43,7.36,-2.26,0.04,2.93
2016,-4.91,-0.91,4.44,-1.29,1.27,9.28,0.25,2.05,7.8,0.66,6.21,-4.93
2017,1.57,-2.57,-2.69,0.41,-0.73,-2.66,-5.46,6.07,-4.36,4.01,0.38,-7.03
2018,-2.19,-0.6,-3.83,-2.05,0.33,-6.1,-0.04,-2.29,-0.04,1.84,-3.63,-4.24
2019,7.3,2.36,-2.23,1.49,-3.49,1.36,6.23,0.86,2.59,3.83,-2.89,0.5
2020,0.73,0.75,-2.84,-8.87,-1.56,1.5,0.5,3.04,-2.08,2.4,-1.65,1.92
2021,0.0,3.36,-2.24,3.7,1.54,1.03,0.29,4.45,-1.0,2.86,-1.49,-1.9
2022,-1.23,-0.18,1.81,1.33,3.61,-4.04,-0.63,-4.7,-1.63,1.27,0.24,4.69
2023,1.4,1.45,8.39,9.1,-2.23,-2.15,-0.24,3.53,-0.06,-2.29,-0.74,-6.4
2024,2.44,-2.66,3.51,-5.25,-0.78,1.5,-0.26,-8.78,4.65,-0.76,4.51,-2.84
2025,-2.42,1.96,2.43,-3.09,-2.11,0.76,-0.24,-3.26,-1.98,-0.18,-1.51,-2.76
2026,-0.06,1.45,2.01,-0.46,0.43,,,,,,,
