date,year,month,sr_open,sr_high,sr_low,sr_close,sr_ret%,ice_close,ice_ret%,diff%
2006-01-31,2006,1,4700,,,6030,,18.02,,
2006-02-28,2006,2,6246,,,5293,-12.22,16.74,-7.1,-5.12
2006-03-31,2006,3,5350,,,5071,-4.19,17.9,6.93,-11.12
2006-04-30,2006,4,5027,,,4778,-5.78,17.13,-4.3,-1.48
2006-05-31,2006,5,4808,,,4776,-0.04,15.46,-9.75,9.71
2006-06-30,2006,6,4640,,,4272,-10.55,15.79,2.13,-12.69
2006-07-31,2006,7,4211,,,3967,-7.14,14.91,-5.57,-1.57
2006-08-31,2006,8,3960,,,3272,-17.52,11.8,-20.86,3.34
2006-09-30,2006,9,3302,,,3341,2.11,10.85,-8.05,10.16
2006-10-31,2006,10,3342,,,3825,14.49,11.55,6.45,8.03
2006-11-30,2006,11,3752,,,3960,3.53,12.37,7.1,-3.57
2006-12-31,2006,12,3938,,,3773,-4.72,11.75,-5.01,0.29
2007-01-31,2007,1,3715,,,3732,-1.09,10.6,-9.79,8.7
2007-02-28,2007,2,3726,,,3831,2.65,11.31,6.7,-4.05
2007-03-31,2007,3,3810,,,3891,1.57,9.88,-12.64,14.21
2007-04-30,2007,4,3881,,,3722,-4.34,9.24,-6.48,2.13
2007-05-31,2007,5,3749,,,3627,-2.55,9.34,1.08,-3.63
2007-06-30,2007,6,3620,,,3474,-4.22,9.07,-2.89,-1.33
2007-07-31,2007,7,3471,,,3699,6.48,10.33,13.89,-7.42
2007-08-31,2007,8,3724,,,3822,3.33,9.48,-8.23,11.55
2007-09-30,2007,9,3812,,,3916,2.46,9.56,0.84,1.62
2007-10-31,2007,10,3870,,,3971,1.4,9.98,4.39,-2.99
2007-11-30,2007,11,4001,,,3945,-0.65,9.75,-2.31,1.65
2007-12-31,2007,12,3935,,,3952,0.18,10.82,10.97,-10.8
2008-01-31,2008,1,3980,,,3841,-2.81,12.36,14.23,-17.04
2008-02-29,2008,2,3850,,,4605,19.89,14.27,15.45,4.44
2008-03-31,2008,3,4680,,,4132,-10.27,11.69,-18.08,7.81
2008-04-30,2008,4,3790,,,3826,-7.41,10.65,-8.9,1.49
2008-05-31,2008,5,3863,,,3897,1.86,10.02,-5.92,7.77
2008-06-30,2008,6,3925,,,3782,-2.95,12.04,20.16,-23.11
2008-07-31,2008,7,3796,,,3477,-8.06,13.93,15.7,-23.76
2008-08-31,2008,8,3488,,,3309,-4.83,12.76,-8.4,3.57
2008-09-30,2008,9,3295,,,3128,-5.47,12.36,-3.14,-2.33
2008-10-31,2008,10,3025,,,3276,4.73,12.02,-2.75,7.48
2008-11-30,2008,11,3220,,,3118,-4.82,11.9,-1.0,-3.82
2008-12-31,2008,12,3098,,,2852,-8.53,11.81,-0.76,-7.78
2009-01-31,2009,1,2955,,,3149,10.41,12.67,7.28,3.13
2009-02-28,2009,2,3152,,,3729,18.42,13.47,6.31,12.1
2009-03-31,2009,3,3720,,,3820,2.44,12.67,-5.94,8.38
2009-04-30,2009,4,3845,,,4161,8.93,14.05,10.89,-1.97
