date,sr_close,sr_ret%,oni,oni_6m,bucket,fwd_6m,fwd_12m,fwd_18m
2006-02-28,5293,-12.22,-0.77,,E. ONI≤-1.0 (中强 La Niña),-38.18,-27.62,-27.79
2006-03-31,5071,-4.19,-0.57,,E. ONI≤-1.0 (中强 La Niña),-34.12,-23.27,-22.78
2006-04-30,4778,-5.78,-0.37,,E. ONI≤-1.0 (中强 La Niña),-19.95,-22.1,-16.89
2006-05-31,4776,-0.04,-0.14,,E. ONI≤-1.0 (中强 La Niña),-17.09,-24.06,-17.4
2006-06-30,4272,-10.55,-0.03,,E. ONI≤-1.0 (中强 La Niña),-11.68,-18.68,-7.49
2006-07-31,3967,-7.14,0.1,-0.3,C. -0.5<ONI<0.5 (中性),-5.92,-6.76,-3.18
2006-08-31,3272,-17.52,0.3,-0.12,C. -0.5<ONI<0.5 (中性),17.08,16.81,40.74
2006-09-30,3341,2.11,0.54,0.07,C. -0.5<ONI<0.5 (中性),16.46,17.21,23.68
2006-10-31,3825,14.49,0.77,0.26,C. -0.5<ONI<0.5 (中性),-2.69,3.82,0.03
2006-11-30,3960,3.53,0.94,0.44,C. -0.5<ONI<0.5 (中性),-8.41,-0.38,-1.59
2006-12-31,3773,-4.72,0.94,0.6,B. 0.5≤ONI<1.0 (弱 El Niño),-7.92,4.74,0.24
2007-01-31,3732,-1.09,0.66,0.69,B. 0.5≤ONI<1.0 (弱 El Niño),-0.88,2.92,-6.83
2007-02-28,3831,2.65,0.22,0.68,B. 0.5≤ONI<1.0 (弱 El Niño),-0.23,20.2,-13.63
2007-03-31,3891,1.57,-0.12,0.57,B. 0.5≤ONI<1.0 (弱 El Niño),0.64,6.19,-19.61
2007-04-30,3722,-4.34,-0.32,0.39,C. -0.5<ONI<0.5 (中性),6.69,2.79,-11.98
2007-05-31,3627,-2.55,-0.38,0.17,C. -0.5<ONI<0.5 (中性),8.77,7.44,-14.03
2007-06-30,3474,-4.22,-0.47,-0.07,C. -0.5<ONI<0.5 (中性),13.76,8.87,-17.9
2007-07-31,3699,6.48,-0.56,-0.27,C. -0.5<ONI<0.5 (中性),3.84,-6.0,-14.87
2007-08-31,3822,3.33,-0.81,-0.44,C. -0.5<ONI<0.5 (中性),20.49,-13.42,-2.43
2007-09-30,3916,2.46,-1.07,-0.6,D. -1.0<ONI≤-0.5 (弱 La Niña),5.52,-20.12,-2.45
2007-10-31,3971,1.4,-1.34,-0.77,D. -1.0<ONI≤-0.5 (弱 La Niña),-3.65,-17.5,4.78
2007-11-30,3945,-0.65,-1.5,-0.96,D. -1.0<ONI≤-0.5 (弱 La Niña),-1.22,-20.96,5.68
2007-12-31,3952,0.18,-1.6,-1.15,E. ONI≤-1.0 (中强 La Niña),-4.3,-27.83,6.86
2008-01-31,3841,-2.81,-1.64,-1.33,E. ONI≤-1.0 (中强 La Niña),-9.48,-18.02,10.47
2008-02-29,4605,19.89,-1.52,-1.44,E. ONI≤-1.0 (中强 La Niña),-28.14,-19.02,3.21
2008-03-31,4132,-10.27,-1.29,-1.48,E. ONI≤-1.0 (中强 La Niña),-24.3,-7.55,12.46
