date,sr_close,sr_ret%,ice_close,ice_ret%,oni,phase
2006-02-28,5293,-12.22,16.74,-7.1,-0.77,Weak La Niña
2006-03-31,5071,-4.19,17.9,6.93,-0.57,Weak La Niña
2006-04-30,4778,-5.78,17.13,-4.3,-0.37,Neutral
2006-05-31,4776,-0.04,15.46,-9.75,-0.14,Neutral
2006-06-30,4272,-10.55,15.79,2.13,-0.03,Neutral
2006-07-31,3967,-7.14,14.91,-5.57,0.1,Neutral
2006-08-31,3272,-17.52,11.8,-20.86,0.3,Neutral
2006-09-30,3341,2.11,10.85,-8.05,0.54,Weak El Niño
2006-10-31,3825,14.49,11.55,6.45,0.77,Weak El Niño
2006-11-30,3960,3.53,12.37,7.1,0.94,Weak El Niño
2006-12-31,3773,-4.72,11.75,-5.01,0.94,Weak El Niño
2007-01-31,3732,-1.09,10.6,-9.79,0.66,Weak El Niño
2007-02-28,3831,2.65,11.31,6.7,0.22,Neutral
2007-03-31,3891,1.57,9.88,-12.64,-0.12,Neutral
2007-04-30,3722,-4.34,9.24,-6.48,-0.32,Neutral
2007-05-31,3627,-2.55,9.34,1.08,-0.38,Neutral
2007-06-30,3474,-4.22,9.07,-2.89,-0.47,Neutral
2007-07-31,3699,6.48,10.33,13.89,-0.56,Weak La Niña
2007-08-31,3822,3.33,9.48,-8.23,-0.81,Weak La Niña
2007-09-30,3916,2.46,9.56,0.84,-1.07,Moderate La Niña
2007-10-31,3971,1.4,9.98,4.39,-1.34,Moderate La Niña
2007-11-30,3945,-0.65,9.75,-2.31,-1.5,Strong La Niña
2007-12-31,3952,0.18,10.82,10.97,-1.6,Strong La Niña
2008-01-31,3841,-2.81,12.36,14.23,-1.64,Strong La Niña
2008-02-29,4605,19.89,14.27,15.45,-1.52,Strong La Niña
2008-03-31,4132,-10.27,11.69,-18.08,-1.29,Moderate La Niña
2008-04-30,3826,-7.41,10.65,-8.9,-1.01,Moderate La Niña
2008-05-31,3897,1.86,10.02,-5.92,-0.84,Weak La Niña
2008-06-30,3782,-2.95,12.04,20.16,-0.61,Weak La Niña
2008-07-31,3477,-8.06,13.93,15.7,-0.37,Neutral
2008-08-31,3309,-4.83,12.76,-8.4,-0.23,Neutral
2008-09-30,3128,-5.47,12.36,-3.14,-0.24,Neutral
2008-10-31,3276,4.73,12.02,-2.75,-0.35,Neutral
2008-11-30,3118,-4.82,11.9,-1.0,-0.55,Weak La Niña
2008-12-31,2852,-8.53,11.81,-0.76,-0.73,Weak La Niña
2009-01-31,3149,10.41,12.67,7.28,-0.85,Weak La Niña
2009-02-28,3729,18.42,13.47,6.31,-0.79,Weak La Niña
2009-03-31,3820,2.44,12.67,-5.94,-0.61,Weak La Niña
2009-04-30,4161,8.93,14.05,10.89,-0.33,Neutral
2009-05-31,4169,0.19,15.58,10.89,0.01,Neutral
2009-06-30,4223,1.3,16.81,7.9,0.28,Neutral
2009-07-31,4243,0.47,18.61,10.71,0.45,Neutral
2009-08-31,4753,12.02,24.39,31.06,0.58,Weak El Niño
2009-09-30,4647,-2.23,24.12,-1.11,0.71,Weak El Niño
2009-10-31,4620,-0.58,22.81,-5.43,1.01,Moderate El Niño
2009-11-30,5081,9.98,22.64,-0.74,1.36,Moderate El Niño
2009-12-31,5761,13.38,26.95,19.04,1.56,Strong El Niño
2010-01-31,5378,-6.65,29.9,10.95,1.5,Strong El Niño
2010-02-28,5433,1.02,24.13,-19.3,1.22,Moderate El Niño
2010-03-31,5077,-6.55,16.59,-31.25,0.84,Weak El Niño
2010-04-30,4938,-2.74,15.05,-9.28,0.35,Neutral
2010-05-31,4675,-5.33,14.19,-5.71,-0.17,Neutral
2010-06-30,4825,3.21,18.03,27.06,-0.66,Weak La Niña
2010-07-31,5194,7.65,19.57,8.54,-1.05,Moderate La Niña
2010-08-31,5492,5.74,19.75,0.92,-1.35,Moderate La Niña
2010-09-30,5676,3.35,25.3,28.1,-1.56,Strong La Niña
2010-10-31,6490,14.34,29.12,15.1,-1.64,Strong La Niña
2010-11-30,6485,-0.08,27.55,-5.39,-1.64,Strong La Niña
2010-12-31,7067,8.97,32.12,16.59,-1.54,Strong La Niña
2011-01-31,7444,5.33,33.97,5.76,-1.31,Moderate La Niña
2011-02-28,7279,-2.22,32.51,-4.3,-1.04,Moderate La Niña
2011-03-31,7037,-3.32,27.11,-16.61,-0.8,Weak La Niña
2011-04-30,6772,-3.77,23.38,-13.76,-0.62,Weak La Niña
2011-05-31,6687,-1.26,23.18,-0.86,-0.46,Neutral
2011-06-30,6788,1.51,28.36,22.35,-0.37,Neutral
2011-07-31,7308,7.66,29.81,5.11,-0.43,Neutral
2011-08-31,7192,-1.59,29.68,-0.44,-0.58,Weak La Niña
2011-09-30,6749,-6.16,26.34,-11.25,-0.79,Weak La Niña
2011-10-31,6682,-0.99,25.77,-2.16,-0.96,Weak La Niña
2011-11-30,6312,-5.54,23.69,-8.07,-1.02,Moderate La Niña
2011-12-31,5930,-6.05,23.3,-1.65,-0.92,Weak La Niña
2012-01-31,6533,10.17,23.64,1.46,-0.72,Weak La Niña
2012-02-29,6675,2.17,25.66,8.54,-0.57,Weak La Niña
2012-03-31,6648,-0.4,24.71,-3.7,-0.46,Neutral
2012-04-30,6330,-4.78,21.17,-14.33,-0.36,Neutral
2012-05-31,6018,-4.93,19.42,-8.27,-0.17,Neutral
2012-06-30,5746,-4.52,21.81,12.31,0.06,Neutral
2012-07-31,5377,-6.42,22.64,3.81,0.3,Neutral
2012-08-31,5396,0.35,19.78,-12.63,0.41,Neutral
2012-09-30,5190,-3.82,19.58,-1.01,0.41,Neutral
2012-10-31,5212,0.42,19.46,-0.61,0.31,Neutral
2012-11-30,5339,2.44,19.34,-0.62,0.13,Neutral
2012-12-31,5549,3.93,19.51,0.88,-0.1,Neutral
2013-01-31,5435,-2.05,18.78,-3.74,-0.29,Neutral
2013-02-28,5419,-0.29,18.38,-2.13,-0.29,Neutral
2013-03-31,5364,-1.01,17.66,-3.92,-0.21,Neutral
2013-04-30,5227,-2.55,17.67,0.06,-0.19,Neutral
2013-05-31,5077,-2.87,16.55,-6.34,-0.27,Neutral
2013-06-30,4954,-2.42,16.38,-1.03,-0.34,Neutral
2013-07-31,4895,-1.19,16.97,3.6,-0.35,Neutral
2013-08-31,4996,2.06,16.34,-3.71,-0.28,Neutral
2013-09-30,5089,1.86,17.48,6.98,-0.21,Neutral
2013-10-31,5194,2.06,18.32,4.8,-0.13,Neutral
2013-11-30,5012,-3.5,17.15,-6.39,-0.1,Neutral
2013-12-31,4788,-4.47,16.41,-4.32,-0.15,Neutral
2014-01-31,4386,-8.4,15.55,-5.24,-0.28,Neutral
2014-02-28,4680,6.7,16.47,5.92,-0.32,Neutral
2014-03-31,4849,3.61,17.77,7.89,-0.14,Neutral
2014-04-30,4855,0.12,17.24,-2.98,0.15,Neutral
2014-05-31,4842,-0.27,17.38,0.81,0.31,Neutral
2014-06-30,4957,2.38,16.62,-4.37,0.23,Neutral
2014-07-31,4759,-3.99,16.46,-0.96,0.1,Neutral
2014-08-31,4546,-4.48,15.49,-5.89,0.11,Neutral
2014-09-30,4637,2.0,15.48,-0.06,0.28,Neutral
2014-10-31,4678,0.88,16.04,3.62,0.54,Weak El Niño
2014-11-30,4610,-1.45,15.59,-2.8,0.71,Weak El Niño
2014-12-31,4619,0.2,14.52,-6.86,0.77,Weak El Niño
2015-01-31,4907,6.24,14.79,1.86,0.69,Weak El Niño
2015-02-28,5113,4.2,13.93,-5.82,0.61,Weak El Niño
2015-03-31,5363,4.89,11.93,-14.36,0.65,Weak El Niño
2015-04-30,5540,3.3,12.98,8.8,0.81,Weak El Niño
2015-05-31,5537,-0.05,11.98,-7.7,1.02,Moderate El Niño
2015-06-30,5663,2.28,12.28,2.5,1.25,Moderate El Niño
2015-07-31,5319,-6.07,11.14,-9.28,1.57,Strong El Niño
2015-08-31,5243,-1.43,10.69,-4.04,1.91,Strong El Niño
2015-09-30,5629,7.36,12.17,13.84,2.21,Strong El Niño
2015-10-31,5502,-2.26,14.52,19.31,2.47,Strong El Niño
2015-11-30,5504,0.04,14.93,2.82,2.64,Strong El Niño
2015-12-31,5665,2.93,15.24,2.08,2.75,Strong El Niño
2016-01-31,5387,-4.91,13.14,-13.78,2.63,Strong El Niño
